연도,상/하반기,재공급/신규공급,평수,주택명,주소지,자치구,지역등급,교통등급,모집규모밀도,당첨자순위,당첨자 가점,모집규모밀도_건수
2024,상,재공급,40A,WISH희망,"서울특별시 강동구 천호옛8길 3 (성내동 127-13, WISH희망)",강동구,C,6분,0.001442597,1순위,9점,144
2024,상,신규공급,28B,와이디하우스2차,"서울특별시 강동구 구천면로35길 24-9 (천호동 299-13, 14, 와이디하우스2차)",강동구,C,9분,0.001442597,2순위,8점,144
2024,상,신규공급,36A,와이디하우스2차,"서울특별시 강동구 구천면로35길 24-9 (천호동 299-13, 14, 와이디하우스2차)",강동구,C,9분,0.001442597,1순위,5점,144
2024,상,신규공급,39A,와이디하우스2차,"서울특별시 강동구 구천면로35길 24-9 (천호동 299-13, 14, 와이디하우스2차)",강동구,C,9분,0.001442597,1순위,8점,144
2024,상,신규공급,29A,플래티넘7,"서울특별시 강동구 진황도로27가길 21 (천호동 191-15, 플래티넘7)",강동구,C,5분,0.001442597,1순위,6점,144
2024,상,신규공급,23A,상일프라임,"서울특별시 강동구 상일로5길 10-5 (상일동 274-5, 상일프라임)",강동구,C,13분,0.001442597,2순위,6점,144
2024,상,신규공급,29A,상일프라임,"서울특별시 강동구 상일로5길 10-5 (상일동 274-5, 상일프라임)",강동구,C,13분,0.001442597,2순위,8점,144
2024,상,재공급,21B,홍원하이빌강북7,"서울특별시 강북구 삼양로119길 22 (수유동 313-6, 홍원하이빌강북7)",강북구,C,5분,0.000848101,1순위,2점,67
2024,상,신규공급,28B,미래하이츠,"서울특별시 강북구 수유로23길 31 (수유동 1-4, 미래하이츠)",강북구,C,4분,0.000848101,2순위,9점,67
2024,상,신규공급,38A,미래하이츠,"서울특별시 강북구 수유로23길 31 (수유동 1-4, 미래하이츠)",강북구,C,4분,0.000848101,1순위,6점,67
2024,상,신규공급,43A,미래하이츠,"서울특별시 강북구 수유로23길 31 (수유동 1-4, 미래하이츠)",강북구,C,4분,0.000848101,1순위,9점,67
2024,상,신규공급,27B,다드림12차,"서울특별시 강북구 인수봉로55길 33-22 (수유동 508-99 외 1필지, 다드림12차)",강북구,C,8분,0.000848101,2순위,7점,67
2024,상,신규공급,35B,다드림12차,"서울특별시 강북구 인수봉로55길 33-22 (수유동 508-99 외 1필지, 다드림12차)",강북구,C,8분,0.000848101,2순위,8점,67
2024,상,재공급,17B,STAY온-2,"서울특별시 관악구 남부순환로 1519 (신림동 507-22, STAY온-2)",관악구,B,10분,0.000338462,1순위,5점,66
2024,상,재공급,26B,STAY온-2,"서울특별시 관악구 남부순환로 1519 (신림동 507-22, STAY온-2)",관악구,B,10분,0.000338462,2순위,6점,66
2024,상,재공급,32A,신림파크빌,"서울특별시 관악구 남부순환로155길 30 (신림동 505-10, 신림파크빌)",관악구,B,7분,0.000338462,1순위,6점,66
2024,상,재공급,44C,하임,"서울특별시 관악구 난곡로30길 23 (신림동 624-34, 하임)",관악구,B,22분,0.000338462,1순위,8점,66
2024,상,신규공급,26B,스테이온III,"서울특별시 관악구 남부순환로 1542 (신림동 1577-33, 스테이온III)",관악구,B,9분,0.000338462,1순위,5점,66
2024,상,신규공급,27B,T&K신림 II,"서울특별시 관악구 시흥대로160길 39 (신림동 1663-21, T&K신림II)",관악구,B,7분,0.000338462,1순위,2점,66
