연도,상/하반기,재공급/신규공급,평수,주택명,주소지,자치구,지역등급,교통등급,모집규모밀도,당첨자순위,당첨자 가점,모집규모밀도_건수
2023,하,신규공급,35A,명칭없음,"서울특별시 광진구 천호대로135길 16 (명칭없음, 구의동 57-17)",광진구,B,4분,0.000429825,1순위,7점,49
2023,하,신규공급,41A,명칭없음,"서울특별시 광진구 천호대로135길 16 (명칭없음, 구의동 57-17)",광진구,B,4분,0.000429825,1순위,6점,49
2023,하,신규공급,45A,명칭없음,"서울특별시 광진구 천호대로135길 16 (명칭없음, 구의동 57-17)",광진구,B,4분,0.000429825,1순위,7점,49
2023,하,신규공급,26B,더 엘,"서울특별시 광진구 광나루로30가길 16-6 (더 엘, 구의동 638-3, 4)",광진구,B,11분,0.000429825,1순위,5점,49
2023,하,신규공급,40A,더 엘,"서울특별시 광진구 광나루로30가길 16-6 (더 엘, 구의동 638-3, 4)",광진구,B,11분,0.000429825,1순위,7점,49
2023,하,신규공급,31A,라온에코빌,"서울특별시 구로구 가마산로20길 56 (라온에코빌, 구로동 329-48, 83)",구로구,C,7분,0.00106087,2순위,6점,122
2023,하,신규공급,37C,라온에코빌,"서울특별시 구로구 가마산로20길 56 (라온에코빌, 구로동 329-48, 83)",구로구,C,7분,0.00106087,1순위,5점,122
2023,하,신규공급,32A,라온에코빌,"서울특별시 구로구 가마산로20길 56 (라온에코빌, 구로동 329-48, 83)",구로구,C,7분,0.00106087,2순위,9점,122
2023,하,신규공급,45C,라온에코빌,"서울특별시 구로구 가마산로20길 56 (라온에코빌, 구로동 329-48, 83)",구로구,C,7분,0.00106087,1순위,7점,122
2023,하,신규공급,32B,삼화에코빌,"서울특별시 구로구 개봉로17나길 106 (삼화에코빌, 개봉동 307-13)",구로구,C,6분,0.00106087,2순위,10점,122
2023,하,신규공급,28B,삼화에코빌,"서울특별시 구로구 개봉로17나길 106 (삼화에코빌, 개봉동 307-13)",구로구,C,6분,0.00106087,2순위,7점,122
2023,하,신규공급,41A,삼화에코빌,"서울특별시 구로구 개봉로17나길 106 (삼화에코빌, 개봉동 307-13)",구로구,C,6분,0.00106087,1순위,4점,122
2023,하,신규공급,27B,대정이오스,"서울특별시 구로구 구로중앙로28길 35-9 (대정이오스, 구로동 113-5)",구로구,C,8분,0.00106087,1순위,0점,122
2023,하,신규공급,32A,대정이오스,"서울특별시 구로구 구로중앙로28길 35-9 (대정이오스, 구로동 113-5)",구로구,C,8분,0.00106087,2순위,8점,122
2023,하,신규공급,43D,대정이오스,"서울특별시 구로구 구로중앙로28길 35-9 (대정이오스, 구로동 113-5)",구로구,C,8분,0.00106087,1순위,7점,122
2023,하,신규공급,36A,대정이오스,"서울특별시 구로구 구로중앙로28길 35-9 (대정이오스, 구로동 113-5)",구로구,C,8분,0.00106087,1순위,7점,122
2023,하,신규공급,42A,오크트리빌 구로 2차,"서울특별시 구로구 구로중앙로28길 53-28 (오크트리빌 구로 2차, 구로동 111-50, 51)",구로구,C,7분,0.00106087,1순위,5점,122
2023,하,신규공급,32A,오크트리빌 구로 2차,"서울특별시 구로구 구로중앙로28길 53-28 (오크트리빌 구로 2차, 구로동 111-50, 51)",구로구,C,7분,0.00106087,2순위,7점,122
2023,하,신규공급,31A,오크트리빌 구로 2차,"서울특별시 구로구 구로중앙로28길 53-28 (오크트리빌 구로 2차, 구로동 111-50, 51)",구로구,C,7분,0.00106087,1순위,3점,122
2023,하,신규공급,36A,오크트리빌 구로 2차,"서울특별시 구로구 구로중앙로28길 53-28 (오크트리빌 구로 2차, 구로동 111-50, 51)",구로구,C,7분,0.00106087,1순위,6점,122
2023,하,신규공급,22B,명칭없음,"서울특별시 도봉구 시루봉로12길 10-15 (명칭없음, 방학동 313-7)",도봉구,B,24분,0.000166667,2순위,5점,13
2023,하,신규공급,37A,대원파크빌,"서울특별시 마포구 월드컵북로9길 17-6 (대원파크빌, 성산동 633-7)",마포구,A,8분,0.000226115,1순위,8점,28
2023,하,신규공급,28B,대원파크빌,"서울특별시 마포구 월드컵북로9길 17-6 (대원파크빌, 성산동 633-7)",마포구,A,8분,0.000226115,1순위,7점,28
2023,하,신규공급,34B,대원파크빌,"서울특별시 마포구 월드컵북로9길 17-6 (대원파크빌, 성산동 633-7)",마포구,A,8분,0.000226115,1순위,5점,28
2023,하,신규공급,27B,미래하이츠,"서울특별시 마포구 방울내로9안길 68-9 (미래하이츠, 망원동 465-23)",마포구,A,6분,0.000226115,1순위,4점,28
2023,하,신규공급,31B,미래하이츠,"서울특별시 마포구 방울내로9안길 68-9 (미래하이츠, 망원동 465-23)",마포구,A,6분,0.000226115,1순위,5점,28
2023,하,신규공급,35B,미래하이츠,"서울특별시 마포구 방울내로9안길 68-9 (미래하이츠, 망원동 465-23)",마포구,A,6분,0.000226115,1순위,5점,28
2023,하,신규공급,50A,미래하이츠,"서울특별시 성북구 회기로3길 8 (미래하이츠, 종암동28-27)",성북구,A,2분,0.000327273,1순위,8점,45
2023,하,신규공급,44A,미래하이츠,"서울특별시 성북구 회기로3길 8 (미래하이츠, 종암동28-27)",성북구,A,2분,0.000327273,1순위,7점,45
2023,하,신규공급,31A,미래하이츠,"서울특별시 성북구 회기로3길 8 (미래하이츠, 종암동28-27)",성북구,A,2분,0.000327273,1순위,7점,45
2023,하,신규공급,38A,미래하이츠,"서울특별시 성북구 회기로3길 8 (미래하이츠, 종암동28-27)",성북구,A,2분,0.000327273,1순위,7점,45
2023,하,신규공급,59A,미래하이츠,"서울특별시 성북구 회기로3길 8 (미래하이츠, 종암동28-27)",성북구,A,2분,0.000327273,1순위,11점,45
